Date Issued,Project ID,Cooperative/ Aggregate ID,Project Name,Project Developer,Project Owner,Project Type,Protocol Version,ARB Eligible,CORSIA Eligible,Vintage,Issuance Year,Total Offset Credits Issued,Offset Credits Currently in Reserve Buffer Pool,Offset Credits Intended for ARB Buffer Pool,Offset Credits Converted to VCUs,Canceled for ARB Compliance,Canceled,Project Site Location,Project Site State,Project Site Country,Additional Certification(s),Verification Body,Project Website
41677,CAR1000,,EOS ARB ODS 2013-5,EOS Climate Inc.,EOS Climate Inc.,Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",Yes,No,2013,2014,126155,,,,126155,,El Dorado,ARKANSAS,US,,NSF Certification LLC,www.eosclimate.com
42103,CAR1001,,Alliance Dairies,"Camco International Group, Inc.","Camco International Group, Inc.",Livestock Gas Capture/Combustion,Version 3.0,No,No,2014,2015,7810,,,,7810,,"Gilchrist County; Trenton, FL",FLORIDA,US,,"SES, Inc.",
42103,CAR1001,,Alliance Dairies,"Camco International Group, Inc.","Camco International Group, Inc.",Livestock Gas Capture/Combustion,Version 3.0,No,No,2013,2015,1282,,,,1282,,"Gilchrist County; Trenton, FL",FLORIDA,US,,"SES, Inc.",
44106,CAR1002,,Ideal Family Farms Digester Project,"NativeEnergy, a Public Benefit Corporation","NativeEnergy, a Public Benefit Corporation",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Yes,No,2020,2020,5171,,,,5171,,Beavertown,PENNSYLVANIA,US,,"Agri-Waste Technology, Inc.",
44106,CAR1002,,Ideal Family Farms Digester Project,"NativeEnergy, a Public Benefit Corporation","NativeEnergy, a Public Benefit Corporation",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Yes,No,2019,2020,5676,,,,5676,,Beavertown,PENNSYLVANIA,US,,"Agri-Waste Technology, Inc.",
43476,CAR1002,,Ideal Family Farms Digester Project,"NativeEnergy, a Public Benefit Corporation","NativeEnergy, a Public Benefit Corporation",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Yes,No,2018,2019,3715,,,,3715,,Beavertown,PENNSYLVANIA,US,,"Ruby Canyon Environmental, Inc.",
43476,CAR1002,,Ideal Family Farms Digester Project,"NativeEnergy, a Public Benefit Corporation","NativeEnergy, a Public Benefit Corporation",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Yes,No,2017,2019,4397,,,,4397,,Beavertown,PENNSYLVANIA,US,,"Ruby Canyon Environmental, Inc.",
42763,CAR1002,,Ideal Family Farms Digester Project,"NativeEnergy, a Public Benefit Corporation","NativeEnergy, a Public Benefit Corporation",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, November 14, 2014",Yes,No,2016,2017,4832,,,,4832,,Beavertown,PENNSYLVANIA,US,,"Agri-Waste Technology, Inc.",
42763,CAR1002,,Ideal Family Farms Digester Project,"NativeEnergy, a Public Benefit Corporation","NativeEnergy, a Public Benefit Corporation",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, October 20, 2011",Yes,No,2015,2017,2269,,,,2269,,Beavertown,PENNSYLVANIA,US,,"Agri-Waste Technology, Inc.",
42035,CAR1002,,Ideal Family Farms Digester Project,"NativeEnergy, a Public Benefit Corporation","NativeEnergy, a Public Benefit Corporation",Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, October 20, 2011",Yes,No,2014,2015,5829,,,,5829,,Beavertown,PENNSYLVANIA,US,,"First Environment of California, Inc.",
